
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;0.0;1.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;3.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;1.0;-66.7;
    6.-Robos con violencia e intimidación;9.0;7.0;-22.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;15.0;16.0;6.7;
    7.1.-Robos con fuerza en domicilios;12.0;11.0;-8.3;
    8.-Hurtos;85.0;54.0;-36.5;
    9.-Sustracciones de vehículos;1.0;0.0;-100.0;
    10.-Tráfico de drogas;1.0;9.0;800.0;
    Resto de infracciones penales;124.0;124.0;0.0;
    TOTAL INFRACCIONES PENALES;238.0;214.0;-10.1;
Provincia de GRANADA;
    1.-Homicidios dolosos y asesinatos consumados;5.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;70.0;77.0;10.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;66.0;53.0;-19.7;
    5.1.-Agresión sexual con penetración;8.0;3.0;-62.5;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;58.0;50.0;-13.8;
    6.-Robos con violencia e intimidación;207.0;206.0;-0.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;747.0;505.0;-32.4;
    7.1.-Robos con fuerza en domicilios;527.0;352.0;-33.2;
    8.-Hurtos;2170.0;1953.0;-10.0;
    9.-Sustracciones de vehículos;129.0;114.0;-11.6;
    10.-Tráfico de drogas;166.0;183.0;10.2;
    Resto de infracciones penales;4610.0;4965.0;7.7;
    TOTAL INFRACCIONES PENALES;8171.0;8057.0;-1.4;
- Municipio de Granada;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;26.0;31.0;19.2;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;24.0;26.0;8.3;
    5.1.-Agresión sexual con penetración;3.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;21.0;26.0;23.8;
    6.-Robos con violencia e intimidación;140.0;114.0;-18.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;131.0;97.0;-26.0;
    7.1.-Robos con fuerza en domicilios;81.0;49.0;-39.5;
    8.-Hurtos;993.0;928.0;-6.5;
    9.-Sustracciones de vehículos;76.0;71.0;-6.6;
    10.-Tráfico de drogas;29.0;35.0;20.7;
    Resto de infracciones penales;1434.0;1530.0;6.7;
    TOTAL INFRACCIONES PENALES;2855.0;2832.0;-0.8;
- Municipio de Motril;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;5.0;25.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;5.0;0.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;5.0;25.0;
    6.-Robos con violencia e intimidación;10.0;20.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;50.0;39.0;-22.0;
    7.1.-Robos con fuerza en domicilios;32.0;33.0;3.1;
    8.-Hurtos;140.0;143.0;2.1;
    9.-Sustracciones de vehículos;4.0;4.0;0.0;
    10.-Tráfico de drogas;7.0;5.0;-28.6;
    Resto de infracciones penales;356.0;392.0;10.1;
    TOTAL INFRACCIONES PENALES;576.0;613.0;6.4;
Provincia de HUELVA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;3.0;3.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;39.0;50.0;28.2;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;24.0;34.0;41.7;
    5.1.-Agresión sexual con penetración;0.0;4.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;24.0;30.0;25.0;
    6.-Robos con violencia e intimidación;71.0;82.0;15.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;482.0;424.0;-12.0;
    7.1.-Robos con fuerza en domicilios;383.0;335.0;-12.5;
