
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    8.-Hurtos;1107.0;946.0;-14.5;
    9.-Sustracciones de vehículos;61.0;60.0;-1.6;
    10.-Tráfico de drogas;35.0;29.0;-17.1;
    Resto de infracciones penales;2804.0;2946.0;5.1;
    TOTAL INFRACCIONES PENALES;4626.0;4574.0;-1.1;
- Municipio de Huelva;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;7.0;8.0;14.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;9.0;16.0;77.8;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;9.0;14.0;55.6;
    6.-Robos con violencia e intimidación;29.0;38.0;31.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;37.0;86.0;132.4;
    7.1.-Robos con fuerza en domicilios;27.0;50.0;85.2;
    8.-Hurtos;618.0;460.0;-25.6;
    9.-Sustracciones de vehículos;13.0;15.0;15.4;
    10.-Tráfico de drogas;11.0;7.0;-36.4;
    Resto de infracciones penales;919.0;983.0;7.0;
    TOTAL INFRACCIONES PENALES;1644.0;1613.0;-1.9;
Provincia de JAÉN;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;2.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;31.0;37.0;19.4;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;24.0;33.0;37.5;
    5.1.-Agresión sexual con penetración;5.0;1.0;-80.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;19.0;32.0;68.4;
    6.-Robos con violencia e intimidación;53.0;65.0;22.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;260.0;221.0;-15.0;
    7.1.-Robos con fuerza en domicilios;175.0;153.0;-12.6;
    8.-Hurtos;1015.0;894.0;-11.9;
    9.-Sustracciones de vehículos;52.0;71.0;36.5;
    10.-Tráfico de drogas;26.0;34.0;30.8;
    Resto de infracciones penales;2431.0;2655.0;9.2;
    TOTAL INFRACCIONES PENALES;3893.0;4013.0;3.1;
- Municipio de Andújar;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;3.0;200.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;2.0;-60.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;2.0;-60.0;
    6.-Robos con violencia e intimidación;0.0;4.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;21.0;7.0;-66.7;
    7.1.-Robos con fuerza en domicilios;15.0;6.0;-60.0;
    8.-Hurtos;62.0;57.0;-8.1;
    9.-Sustracciones de vehículos;1.0;4.0;300.0;
    10.-Tráfico de drogas;2.0;2.0;0.0;
    Resto de infracciones penales;120.0;164.0;36.7;
    TOTAL INFRACCIONES PENALES;212.0;243.0;14.6;
- Municipio de Jaén;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;8.0;60.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;4.0;8.0;100.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;8.0;166.7;
    6.-Robos con violencia e intimidación;28.0;35.0;25.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;57.0;75.0;31.6;
    7.1.-Robos con fuerza en domicilios;41.0;50.0;22.0;
    8.-Hurtos;348.0;308.0;-11.5;
    9.-Sustracciones de vehículos;31.0;45.0;45.2;
    10.-Tráfico de drogas;5.0;3.0;-40.0;
    Resto de infracciones penales;633.0;662.0;4.6;
    TOTAL INFRACCIONES PENALES;1111.0;1144.0;3.0;
- Municipio de Linares;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;4.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;3.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;3.0;0.0;
    6.-Robos con violencia e intimidación;4.0;9.0;125.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;9.0;11.0;22.2;
    7.1.-Robos con fuerza en domicilios;8.0;8.0;0.0;
    8.-Hurtos;90.0;87.0;-3.3;
    9.-Sustracciones de vehículos;10.0;7.0;-30.0;
    10.-Tráfico de drogas;5.0;3.0;-40.0;
    Resto de infracciones penales;209.0;243.0;16.3;
    TOTAL INFRACCIONES PENALES;332.0;368.0;10.8;
- Municipio de Úbeda;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;2.0;-50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    6.-Robos con violencia e intimidación;2.0;1.0;-50.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;5.0;2.0;-60.0;
    7.1.-Robos con fuerza en domicilios;2.0;1.0;-50.0;
    8.-Hurtos;74.0;53.0;-28.4;
    9.-Sustracciones de vehículos;1.0;1.0;0.0;
    10.-Tráfico de drogas;3.0;3.0;0.0;
    Resto de infracciones penales;128.0;144.0;12.5;
    TOTAL INFRACCIONES PENALES;218.0;207.0;-5.0;
Provincia de MÁLAGA;
    1.-Homicidios dolosos y asesinatos consumados;5.0;7.0;40.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;6.0;8.0;33.3;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;138.0;167.0;21.0;
    4.-Secuestro;1.0;2.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;117.0;126.0;7.7;
    5.1.-Agresión sexual con penetración;13.0;12.0;-7.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;104.0;114.0;9.6;
    6.-Robos con violencia e intimidación;330.0;368.0;11.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1248.0;1249.0;0.1;
    7.1.-Robos con fuerza en domicilios;913.0;926.0;1.4;
    8.-Hurtos;5269.0;5337.0;1.3;
    9.-Sustracciones de vehículos;502.0;421.0;-16.1;
    10.-Tráfico de drogas;203.0;241.0;18.7;
    Resto de infracciones penales;9337.0;10336.0;10.7;
    TOTAL INFRACCIONES PENALES;17156.0;18262.0;6.4;
- Municipio de Alhaurín de la Torre;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;3.0;200.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;0.0;-100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;0.0;-100.0;
    6.-Robos con violencia e intimidación;2.0;2.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;27.0;17.0;-37.0;
    7.1.-Robos con fuerza en domicilios;23.0;16.0;-30.4;
    8.-Hurtos;48.0;48.0;0.0;
    9.-Sustracciones de vehículos;2.0;7.0;250.0;
    10.-Tráfico de drogas;2.0;3.0;50.0;
    Resto de infracciones penales;176.0;193.0;9.7;
    TOTAL INFRACCIONES PENALES;259.0;273.0;5.4;
- Municipio de Antequera;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;1.0;-50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    6.-Robos con violencia e intimidación;2.0;4.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;25.0;22.0;-12.0;
    7.1.-Robos con fuerza en domicilios;21.0;15.0;-28.6;
    8.-Hurtos;72.0;86.0;19.4;
    9.-Sustracciones de vehículos;6.0;4.0;-33.3;
    10.-Tráfico de drogas;2.0;3.0;50.0;
    Resto de infracciones penales;184.0;202.0;9.8;
    TOTAL INFRACCIONES PENALES;294.0;324.0;10.2;
- Municipio de Benalmádena;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;10.0;66.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;3.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;3.0;0.0;
    6.-Robos con violencia e intimidación;10.0;20.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;61.0;73.0;19.7;
    7.1.-Robos con fuerza en domicilios;47.0;45.0;-4.3;
    8.-Hurtos;197.0;215.0;9.1;
    9.-Sustracciones de vehículos;19.0;24.0;26.3;
    10.-Tráfico de drogas;8.0;15.0;87.5;
    Resto de infracciones penales;446.0;528.0;18.4;
    TOTAL INFRACCIONES PENALES;751.0;889.0;18.4;
- Municipio de Estepona;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;6.0;20.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;5.0;0.0;
    5.1.-Agresión sexual con penetración;1.0;3.0;200.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;2.0;-50.0;
    6.-Robos con violencia e intimidación;12.0;10.0;-16.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;99.0;86.0;-13.1;
    7.1.-Robos con fuerza en domicilios;72.0;56.0;-22.2;
    8.-Hurtos;175.0;169.0;-3.4;
    9.-Sustracciones de vehículos;28.0;11.0;-60.7;
    10.-Tráfico de drogas;20.0;11.0;-45.0;
    Resto de infracciones penales;484.0;507.0;4.8;
    TOTAL INFRACCIONES PENALES;828.0;806.0;-2.7;
- Municipio de Fuengirola;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;9.0;14.0;55.6;
    4.-Secuestro;0.0;1.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;16.0;11.0;-31.3;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;15.0;10.0;-33.3;
    6.-Robos con violencia e intimidación;37.0;25.0;-32.4;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;69.0;64.0;-7.2;
    7.1.-Robos con fuerza en domicilios;39.0;40.0;2.6;
    8.-Hurtos;432.0;414.0;-4.2;
    9.-Sustracciones de vehículos;29.0;41.0;41.4;
    10.-Tráfico de drogas;20.0;28.0;40.0;
    Resto de infracciones penales;540.0;515.0;-4.6;
    TOTAL INFRACCIONES PENALES;1153.0;1115.0;-3.3;
- Municipio de Málaga;
    1.-Homicidios dolosos y asesinatos consumados;0.0;2.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;4.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;43.0;54.0;25.6;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;44.0;36.0;-18.2;
    5.1.-Agresión sexual con penetración;4.0;1.0;-75.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;40.0;35.0;-12.5;
    6.-Robos con violencia e intimidación;141.0;177.0;25.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;224.0;253.0;12.9;
    7.1.-Robos con fuerza en domicilios;141.0;173.0;22.7;
    8.-Hurtos;2380.0;2584.0;8.6;
    9.-Sustracciones de vehículos;214.0;187.0;-12.6;
    10.-Tráfico de drogas;65.0;81.0;24.6;
    Resto de infracciones penales;2758.0;3235.0;17.3;
    TOTAL INFRACCIONES PENALES;5871.0;6613.0;12.6;
- Municipio de Marbella;
    1.-Homicidios dolosos y asesinatos consumados;1.0;1.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;15.0;12.0;-20.0;
    4.-Secuestro;1.0;1.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;10.0;16.0;60.0;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;10.0;14.0;40.0;
    6.-Robos con violencia e intimidación;42.0;27.0;-35.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;120.0;212.0;76.7;
    7.1.-Robos con fuerza en domicilios;84.0;150.0;78.6;
    8.-Hurtos;611.0;523.0;-14.4;
    9.-Sustracciones de vehículos;108.0;53.0;-50.9;
    10.-Tráfico de drogas;30.0;25.0;-16.7;
    Resto de infracciones penales;1385.0;1463.0;5.6;
    TOTAL INFRACCIONES PENALES;2324.0;2334.0;0.4;
- Municipio de Mijas;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;4.0;-33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;10.0;5.0;-50.0;
    5.1.-Agresión sexual con penetración;1.0;1.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;9.0;4.0;-55.6;
    6.-Robos con violencia e intimidación;20.0;23.0;15.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;114.0;122.0;7.0;
    7.1.-Robos con fuerza en domicilios;98.0;108.0;10.2;
    8.-Hurtos;277.0;242.0;-12.6;
    9.-Sustracciones de vehículos;27.0;18.0;-33.3;
    10.-Tráfico de drogas;7.0;13.0;85.7;
    Resto de infracciones penales;734.0;726.0;-1.1;
    TOTAL INFRACCIONES PENALES;1196.0;1153.0;-3.6;
- Municipio de Rincón de la Victoria;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;0.0;-100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;1.0;0.0;
    6.-Robos con violencia e intimidación;6.0;2.0;-66.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;61.0;28.0;-54.1;
    7.1.-Robos con fuerza en domicilios;48.0;26.0;-45.8;
    8.-Hurtos;60.0;64.0;6.7;
    9.-Sustracciones de vehículos;1.0;4.0;300.0;
    10.-Tráfico de drogas;2.0;4.0;100.0;
    Resto de infracciones penales;203.0;209.0;3.0;
    TOTAL INFRACCIONES PENALES;335.0;312.0;-6.9;
- Municipio de Ronda;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;3.0;50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;5.0;150.0;
    5.1.-Agresión sexual con penetración;0.0;2.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    6.-Robos con violencia e intimidación;4.0;4.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;17.0;12.0;-29.4;
    7.1.-Robos con fuerza en domicilios;15.0;7.0;-53.3;
    8.-Hurtos;85.0;95.0;11.8;
    9.-Sustracciones de vehículos;1.0;1.0;0.0;
    10.-Tráfico de drogas;2.0;4.0;100.0;
    Resto de infracciones penales;146.0;161.0;10.3;
    TOTAL INFRACCIONES PENALES;259.0;285.0;10.0;
- Municipio de Vélez-Málaga;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;12.0;140.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;5.0;7.0;40.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;4.0;7.0;75.0;
    6.-Robos con violencia e intimidación;5.0;14.0;180.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;48.0;52.0;8.3;
    7.1.-Robos con fuerza en domicilios;31.0;41.0;32.3;
    8.-Hurtos;213.0;200.0;-6.1;
    9.-Sustracciones de vehículos;15.0;19.0;26.7;
    10.-Tráfico de drogas;6.0;8.0;33.3;
    Resto de infracciones penales;397.0;486.0;22.4;
    TOTAL INFRACCIONES PENALES;694.0;799.0;15.1;
- Municipio de Torremolinos;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;9.0;14.0;55.6;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;6.0;-25.0;
    5.1.-Agresión sexual con penetración;3.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;6.0;20.0;
    6.-Robos con violencia e intimidación;18.0;34.0;88.9;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;36.0;37.0;2.8;
    7.1.-Robos con fuerza en domicilios;22.0;23.0;4.5;
    8.-Hurtos;306.0;327.0;6.9;
    9.-Sustracciones de vehículos;24.0;25.0;4.2;
    10.-Tráfico de drogas;15.0;18.0;20.0;
    Resto de infracciones penales;602.0;696.0;15.6;
    TOTAL INFRACCIONES PENALES;1018.0;1158.0;13.8;
Provincia de SEVILLA;
    1.-Homicidios dolosos y asesinatos consumados;1.0;3.0;200.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;8.0;8.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;125.0;143.0;14.4;
    4.-Secuestro;0.0;5.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;118.0;134.0;13.6;
    5.1.-Agresión sexual con penetración;8.0;9.0;12.5;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;110.0;125.0;13.6;
    6.-Robos con violencia e intimidación;526.0;598.0;13.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1606.0;1751.0;9.0;
    7.1.-Robos con fuerza en domicilios;923.0;917.0;-0.7;
    8.-Hurtos;6436.0;6582.0;2.3;
    9.-Sustracciones de vehículos;369.0;454.0;23.0;
    10.-Tráfico de drogas;83.0;99.0;19.3;
    Resto de infracciones penales;10897.0;11935.0;9.5;
    TOTAL INFRACCIONES PENALES;20169.0;21712.0;7.7;
- Municipio de Alcalá de Guadaíra;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;4.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;6.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;6.0;100.0;
    6.-Robos con violencia e intimidación;12.0;13.0;8.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;69.0;79.0;14.5;
    7.1.-Robos con fuerza en domicilios;53.0;58.0;9.4;
    8.-Hurtos;275.0;220.0;-20.0;
    9.-Sustracciones de vehículos;18.0;28.0;55.6;
    10.-Tráfico de drogas;3.0;3.0;0.0;
    Resto de infracciones penales;607.0;622.0;2.5;
    TOTAL INFRACCIONES PENALES;989.0;975.0;-1.4;
- Municipio de Coria del Río;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;0.0;-100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;0.0;0.0;
    6.-Robos con violencia e intimidación;3.0;7.0;133.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;33.0;25.0;-24.2;
    7.1.-Robos con fuerza en domicilios;26.0;17.0;-34.6;
    8.-Hurtos;60.0;64.0;6.7;
    9.-Sustracciones de vehículos;7.0;7.0;0.0;
    10.-Tráfico de drogas;2.0;2.0;0.0;
    Resto de infracciones penales;117.0;201.0;71.8;
    TOTAL INFRACCIONES PENALES;223.0;307.0;37.7;
- Municipio de Dos Hermanas;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;14.0;13.0;-7.1;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;5.0;66.7;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;5.0;150.0;
    6.-Robos con violencia e intimidación;35.0;29.0;-17.1;
